PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,Person_0,male,,2,0,53.39,C
2,1,3,Person_1,male,24.502601274349235,0,0,1.82,Q
3,1,2,Person_2,female,54.65579860870882,1,0,24.72,Q
4,0,3,Person_3,female,40.39812466965573,0,0,2.34,S
5,0,1,Person_4,male,,0,2,87.0,C
6,0,2,Person_5,male,,0,2,46.53,S
7,0,3,Person_6,male,34.513162175027524,0,0,34.33,S
8,1,1,Person_7,male,2.012583889161462,3,0,55.57,S
9,0,1,Person_8,male,25.09563248188941,0,0,33.37,C
10,1,1,Person_9,female,,0,1,111.1,S
11,0,1,Person_10,male,28.315439431362524,0,0,40.05,S
12,1,1,Person_11,female,9.327342144749949,0,0,82.74,S
13,1,3,Person_12,male,,0,0,23.3,S
14,0,2,Person_13,male,,1,0,3.98,S
15,0,3,Person_14,female,46.456484017486076,0,0,24.04,C
16,0,3,Person_15,male,28.131943868875556,0,2,4.34,S
17,0,2,Person_16,male,42.32028987881321,0,0,28.73,S
18,0,2,Person_17,male,23.868901714847276,3,0,21.08,S
19,0,2,Person_18,female,5.145797784425934,0,0,31.18,S
20,0,3,Person_19,female,,0,0,0.32,S
21,0,2,Person_20,male,50.88044275911477,0,2,6.93,S
22,0,3,Person_21,male,25.16409685438974,0,0,21.63,S
23,0,2,Person_22,male,25.592624288749747,0,0,96.19,S
24,0,3,Person_23,female,24.80226525215167,0,0,15.48,S
25,0,2,Person_24,female,55.657912254022094,1,0,17.67,S
26,1,2,Person_25,male,51.76342481506889,0,0,40.13,S
27,0,3,Person_26,male,60.06292326827388,1,0,29.63,S
28,0,3,Person_27,male,26.77336705439928,0,0,11.36,Q
29,0,1,Person_28,female,33.13874284245933,0,0,16.93,S
30,0,3,Person_29,female,,0,0,7.86,S
31,0,3,Person_30,male,,0,0,108.22,S
32,0,3,Person_31,male,12.651086282248912,1,0,4.48,S
33,0,3,Person_32,male,32.034857892676804,0,0,14.88,Q
34,1,2,Person_33,female,,0,1,0.84,S
35,1,1,Person_34,male,20.755864425658256,0,2,8.02,S
36,1,2,Person_35,female,,3,0,48.52,S
37,0,3,Person_36,male,20.48974635053855,0,0,7.19,S
38,0,3,Person_37,male,21.4522821559143,2,0,2.67,C
39,1,2,Person_38,male,21.32423687104892,0,0,20.59,S
40,0,1,Person_39,male,40.6666747649243,0,1,0.32,S
41,0,3,Person_40,male,13.531920897124719,0,0,2.83,S
42,0,3,Person_41,female,,0,0,52.75,S
43,0,3,Person_42,male,46.05142813227782,0,1,47.24,C
44,1,1,Person_43,male,21.815250896812458,0,1,78.94,S
45,0,2,Person_44,male,18.949135529533574,2,0,61.69,S
46,1,1,Person_45,female,25.77265524747649,1,0,36.78,S
47,0,3,Person_46,female,,1,0,1.72,S
48,0,1,Person_47,male,31.71750683334701,0,0,48.87,S
49,0,3,Person_48,female,21.56299987549362,0,2,59.76,S
50,0,2,Person_49,male,35.77427311663256,0,1,51.36,S
51,1,3,Person_50,male,13.567909902290074,1,1,22.73,S
52,1,3,Person_51,female,38.53903314620127,2,0,8.48,S
53,1,3,Person_52,female,34.720502307824745,0,1,59.73,Q
54,1,1,Person_53,female,,0,0,41.56,S
55,0,1,Person_54,male,17.259798821738766,0,0,126.43,S
56,1,1,Person_55,male,16.586467088031597,0,0,5.42,S
57,0,3,Person_56,female,36.48744270884274,0,0,8.18,S
58,0,3,Person_57,male,46.205727034846866,0,0,7.62,S
59,0,3,Person_58,male,20.077691541596874,1,0,50.33,C
60,0,3,Person_59,male,,0,0,6.62,S
61,0,3,Person_60,male,1.0,0,0,2.21,S
62,0,1,Person_61,male,20.815351770799204,3,0,209.4,S
63,1,3,Person_62,female,28.565174939807374,0,0,0.8,S
64,0,2,Person_63,male,16.26443216225433,0,0,57.71,S
65,0,2,Person_64,male,15.888910752945657,0,1,14.55,S
66,0,3,Person_65,male,19.651086209435594,0,0,58.97,S
67,0,1,Person_66,female,,0,0,25.88,S
68,1,1,Person_67,male,26.377393742310755,1,0,74.21,S
69,0,3,Person_68,male,1.0,0,1,83.4,S
70,1,1,Person_69,female,,0,0,0.29,S
71,1,3,Person_70,female,,0,0,2.51,S
72,0,2,Person_71,female,35.407612204749725,0,0,9.22,S
73,0,2,Person_72,female,1.0,1,0,35.41,S
74,1,2,Person_73,male,22.00377753387717,1,0,70.13,S
75,1,2,Person_74,female,,0,0,19.71,S
76,1,3,Person_75,male,48.43672889491827,1,0,29.88,S
77,1,2,Person_76,female,23.60969463601991,0,0,6.68,S
78,0,3,Person_77,female,34.361845786372996,3,0,52.31,S
79,0,3,Person_78,female,30.977599961224485,0,0,109.48,S
80,0,3,Person_79,female,1.0,3,0,10.01,S
81,1,3,Person_80,male,39.75490103284432,1,0,21.85,C
82,1,3,Person_81,male,32.01555107638803,0,0,2.88,S
83,0,1,Person_82,female,36.11576095544425,0,0,26.21,S
84,0,1,Person_83,female,80.0,3,0,22.36,S
85,0,2,Person_84,male,1.0,1,1,4.99,S
86,0,3,Person_85,male,53.14575309665552,0,2,18.67,S
87,1,1,Person_86,male,,1,0,13.01,S
88,1,3,Person_87,female,,0,0,23.61,S
89,1,3,Person_88,female,,0,0,28.19,S
90,0,2,Person_89,male,23.06069133242739,0,1,0.27,S
91,0,3,Person_90,male,21.022339004657375,0,0,45.8,S
92,1,1,Person_91,female,,1,0,39.95,S
93,1,1,Person_92,female,7.759568246596494,0,1,14.6,S
94,0,3,Person_93,male,39.50810834530472,1,0,1.74,S
95,1,3,Person_94,male,23.173278331606447,0,1,45.0,S
96,0,3,Person_95,male,13.17902925343499,0,0,99.36,S
97,0,2,Person_96,male,22.699819988058607,0,0,8.79,S
98,0,2,Person_97,male,,0,1,12.51,S
99,0,3,Person_98,female,21.505308781772875,0,0,6.5,S
100,0,3,Person_99,female,34.018350654934686,0,0,27.53,C
101,0,3,Person_100,male,18.766612139983373,0,0,5.38,
102,1,2,Person_101,female,39.610905898930675,0,2,14.09,S
103,0,3,Person_102,male,38.59710834306286,0,0,38.21,S
104,0,2,Person_103,male,,0,0,26.28,S
105,1,1,Person_104,male,,1,0,15.63,S
106,0,3,Person_105,male,38.36116726661069,1,0,17.45,S
